Steps,Time (ns),RMSD_rec,RMSD_lig
0.0,0.0,0.9711039079955506,1.1921814621095634
1.0,4e-06,0.9544346055182267,1.1645762079645259
2.0,8e-06,0.9167330875219626,1.1738253976214
3.0,1.2e-05,0.8991117171485401,1.1329819519266293
4.0,1.6e-05,0.874894403758016,1.077792522125642
5.0,1.9999999999999998e-05,0.900488117456695,1.0514361983616465
6.0,2.4e-05,0.9092497827758017,1.038285686899635
7.0,2.8e-05,0.9046988831574538,1.010097863351032
8.0,3.2e-05,0.9004473316753149,0.9487476996062073
9.0,3.6e-05,0.8538121588501038,0.9741696059113101
10.0,3.9999999999999996e-05,0.8221871835733392,1.0093540153244405
11.0,4.4e-05,0.8035736274857402,1.0445855561013493
12.0,4.8e-05,0.8099796714715312,0.9997436347000752
13.0,5.2e-05,0.822261287838454,0.9853089229811091
14.0,5.6e-05,0.8380983167207666,0.9616725481065892
15.0,5.9999999999999995e-05,0.8505422694316178,0.9856197292870346
16.0,6.4e-05,0.8523179822292744,1.0340358268410381
17.0,6.8e-05,0.8268484511685631,1.0237809862478817
18.0,7.2e-05,0.8082134106118076,1.0377954571623678
19.0,7.599999999999999e-05,0.8306110529017277,1.0218627379633765
20.0,7.999999999999999e-05,0.8309734442851908,1.0289020405977414
21.0,8.4e-05,0.8400683635631232,1.0290470035125345
22.0,8.8e-05,0.8565080174039941,1.0109089600770138
23.0,9.2e-05,0.8415584487877557,1.0263092116979617
24.0,9.6e-05,0.8318302581752929,1.0353152975962008
25.0,9.999999999999999e-05,0.7861044550800167,0.9656785782433586
26.0,0.000104,0.7918310326753081,0.9804333980178138
27.0,0.000108,0.8130073052802924,0.96357474703534
28.0,0.000112,0.7633633859960497,0.94415309914172
29.0,0.000116,0.7862942927376281,0.9568890525692002
30.0,0.00011999999999999999,0.8353148567335202,0.9835054541919532
31.0,0.000124,0.8457509073950968,1.0067823293463203
32.0,0.000128,0.8305986621108029,0.9408231035371839
33.0,0.00013199999999999998,0.8662565600075207,0.9809573823550127
34.0,0.000136,0.8847744863739064,0.9632181633458183
35.0,0.00014,0.8697207207719081,1.0266507872827373
36.0,0.000144,0.8620386792108187,1.0564197064582421
37.0,0.000148,0.8662697503516836,1.0303700086631455
38.0,0.00015199999999999998,0.8754353037130389,1.0356939373386695
39.0,0.000156,0.8283826733541451,1.0213936546988953
40.0,0.00015999999999999999,0.8446641786668234,0.9859888020800249
41.0,0.000164,0.8568686999341593,0.9870683845481963
42.0,0.000168,0.8601048534917846,1.0128103154894534
43.0,0.00017199999999999998,0.8192776221918638,1.021529133920167
44.0,0.000176,0.7906902040742574,0.9992276747154674
45.0,0.00017999999999999998,0.7973679595388221,1.0052852806833594
46.0,0.000184,0.7994979756244738,0.9687452841449606
47.0,0.000188,0.7943829860728556,0.9568726309710587
48.0,0.000192,0.8125319405344498,0.9476736190749666
49.0,0.000196,0.8320759686580852,0.9835011014851711
50.0,0.00019999999999999998,0.8455589965321442,0.9826464869554787
51.0,0.000204,0.856182243472131,0.9624977694927378
52.0,0.000208,0.8457610862851156,0.9876000465601019
53.0,0.000212,0.8137913699161415,0.991727862287467
54.0,0.000216,0.7953747163787062,0.9910600733463628
55.0,0.00021999999999999998,0.7951013551580572,0.9541774964935189
56.0,0.000224,0.8170927186560109,0.9654646444872971
57.0,0.00022799999999999999,0.7976031108724977,0.9680145728504355
58.0,0.000232,0.8192302327808776,0.9429460512785598
59.0,0.000236,0.8312915256268312,0.9424208115799049
60.0,0.00023999999999999998,0.8359291665004767,0.9766050700189159
61.0,0.000244,0.8618372064000861,0.9744279521571898
62.0,0.000248,0.8840966329790501,0.9776434115494517
63.0,0.000252,0.892330598753815,0.9922026731220353
64.0,0.000256,0.9134703471024432,0.9751514820132423
65.0,0.00026,0.8978958895084952,0.9926926163696366
66.0,0.00026399999999999997,0.9121375214348016,0.96441614951699
67.0,0.000268,0.8829445576870197,0.978278067826841
68.0,0.000272,0.9609147823831357,0.9489167684651569
69.0,0.000276,0.9769068541494612,1.01388497522739
70.0,0.00028,0.9649166071658475,0.9408682199664758
71.0,0.00028399999999999996,0.9443200553522191,0.9462155948098093
72.0,0.000288,0.9538943236040381,0.9469102761131793
73.0,0.000292,0.9273794556469205,0.9229600330788486
74.0,0.000296,0.8869952256289958,0.9271617131223071
75.0,0.0003,0.918453748916829,0.905197644440972
76.0,0.00030399999999999996,0.9358626176481146,0.8946086237944204
77.0,0.000308,0.8972709101384292,0.9136909492692452
78.0,0.000312,0.8771444145900353,0.8686929882626719
79.0,0.000316,0.8988925166902701,0.8611049582203751
80.0,0.00031999999999999997,0.9172130632385257,0.889840203979068
81.0,0.00032399999999999996,0.9098067838139335,0.8903429714198191
82.0,0.000328,0.9111217642288089,0.8810792367038704
83.0,0.000332,0.8680416024380465,0.8036464743352391
84.0,0.000336,0.8456479737434852,0.8432480967836352
85.0,0.00033999999999999997,0.842582403259814,0.8352011236679259
86.0,0.00034399999999999996,0.8396699914621055,0.8380790775259472
87.0,0.000348,0.846295080157523,0.8554007286668099
88.0,0.000352,0.8633312442153782,0.8521498935501528
89.0,0.000356,0.8773309562474673,0.8693272722701934
90.0,0.00035999999999999997,0.8530996285407755,0.9058222812083723
91.0,0.00036399999999999996,0.8604150449346832,0.8867668804558766
92.0,0.000368,0.8803871904450712,0.8863595930359562
93.0,0.000372,0.8515701559013856,0.848170538138645
94.0,0.000376,0.8560778737108272,0.8856290974888463
95.0,0.00037999999999999997,0.8869232550566011,0.905040055139565
96.0,0.000384,0.868539564256408,0.8701457367108266
97.0,0.000388,0.8908765820045706,0.9031437453077106
98.0,0.000392,0.889643080182438,0.8704386237679468
99.0,0.000396,0.8632940075362083,0.8819624660849351
100.0,0.00039999999999999996,0.8740960543177172,0.94351136913557
101.0,0.000404,0.8749192193081462,0.9679627260093953
102.0,0.000408,0.8852581383813476,0.9628121840011858
103.0,0.000412,0.9007532813641144,0.913317661042906
104.0,0.000416,0.9000162468069174,0.9281740114794415
105.0,0.00041999999999999996,0.9171448439181263,0.8945174157236319
106.0,0.000424,0.9391662925104514,0.8871127845351676
107.0,0.000428,0.8878942342270048,0.9032882534895069
108.0,0.000432,0.8819760745851385,0.8740573893910057
109.0,0.00043599999999999997,0.885307705239622,0.8328651665347803
110.0,0.00043999999999999996,0.860601247116592,0.8437307774204359
111.0,0.000444,0.8788103165822553,0.8444475642865535
112.0,0.000448,0.8952306320220564,0.8618928738758254
113.0,0.000452,0.880900326656187,0.8876732366003104
114.0,0.00045599999999999997,0.9079244389672741,0.9122705694613067
115.0,0.00045999999999999996,0.9146205847126216,0.8863814126491028
116.0,0.000464,0.9296062481287853,0.9023002709151922
117.0,0.000468,0.952741441215259,0.8705009707957733
118.0,0.000472,0.9640098507121113,0.8821523377251106
119.0,0.00047599999999999997,0.9318546061235539,0.9024749749853291
120.0,0.00047999999999999996,0.9338535470701931,0.8781204164822476
121.0,0.000484,0.9649101900704043,0.876129138774326
122.0,0.000488,0.9987306942351836,0.8774856549918966
123.0,0.0004919999999999999,0.9639753240179405,0.8386847535814823
124.0,0.000496,0.9581847515208735,0.8358976016656479
125.0,0.0005,0.9665797229192397,0.8591268026682636
126.0,0.000504,0.9597195380020846,0.8885193506811997
127.0,0.000508,0.9872677931263664,0.87313205974265
128.0,0.000512,1.0150869567844918,0.8828557235142936
129.0,0.000516,1.0449486624184516,0.8732763736827275
130.0,0.00052,1.075259071920432,0.9102109962412208
131.0,0.0005239999999999999,1.059372092269074,0.9108299182502068
132.0,0.0005279999999999999,1.0101422575213397,0.9259960635627866
133.0,0.000532,1.00097308104868,0.9108376679021503
134.0,0.000536,0.9767103252639163,0.8861076528022825
135.0,0.00054,0.9441123056421221,0.9120053864567088
136.0,0.000544,0.955024197724263,0.8986305791282428
137.0,0.000548,0.9692917960855052,0.884177469153593
138.0,0.000552,1.0205714413755937,0.8463008897915191
139.0,0.000556,1.0454370572668445,0.8611135611490759
140.0,0.00056,1.0330291229463424,0.8549035990372443
141.0,0.0005639999999999999,1.035184088747735,0.875370499570607
142.0,0.0005679999999999999,1.0580669899133341,0.8713331550415803
143.0,0.000572,0.9927103673254528,0.8252795996933392
144.0,0.000576,0.9631957292198294,0.855289460118846
145.0,0.00058,0.9694302989533752,0.8219937254787786
146.0,0.000584,0.9784919345025439,0.820237400517432
147.0,0.000588,0.9561838259200097,0.8411226078228063
148.0,0.000592,0.9564228457322244,0.847495071592132
149.0,0.000596,0.9655642313159202,0.8798884620171693
150.0,0.0006,0.959967315720952,0.839683908348441
151.0,0.0006039999999999999,0.945612672728673,0.8186148865799951
152.0,0.0006079999999999999,0.9530617082838794,0.8351597006139833
153.0,0.000612,0.944666790841059,0.792053660227159
154.0,0.000616,0.9336705669703034,0.8129133266310885
155.0,0.00062,0.9234122958458825,0.8035060142997398
156.0,0.000624,0.9064417208409891,0.840132596644434
157.0,0.000628,0.8683411651160177,0.8695729301840827
158.0,0.000632,0.9157298893810445,0.9138283295257763
159.0,0.000636,0.9436965131623404,0.89983078640702
160.0,0.0006399999999999999,0.9613280421746508,0.9079908905830112
161.0,0.0006439999999999999,0.999606301446764,0.9018702789156717
162.0,0.0006479999999999999,1.0051728277369434,0.8654255486141085
163.0,0.000652,0.9917126165508793,0.8358028423511666
164.0,0.000656,0.9565901536175091,0.7715524086419716
165.0,0.00066,0.9207122700511688,0.7651499399073474
166.0,0.000664,0.9194473504261959,0.8045275404209826
167.0,0.000668,0.9310022438432443,0.7942494784078094
168.0,0.000672,0.9533937454398898,0.7639764243791308
169.0,0.000676,0.9227842171351566,0.7419082476981355
170.0,0.0006799999999999999,0.9281809641810962,0.7614350348846035
171.0,0.0006839999999999999,0.9259164460515977,0.7792661377033807
