Steps,Time (ns),RMSD_rec,RMSD_lig
0.0,0.0,1.1111510211267337,1.0627203253571802
1.0,4e-06,1.0994058805613318,1.0542127078655807
2.0,8e-06,1.108359334769788,1.0048934859165606
3.0,1.2e-05,1.078870885214618,1.0000603477354995
4.0,1.6e-05,1.147377971640111,1.0060077870275976
5.0,1.9999999999999998e-05,1.1525361556482894,1.0603363004447834
6.0,2.4e-05,1.142088519391568,1.0898016193172921
7.0,2.8e-05,1.151221052259421,1.0535270618345407
8.0,3.2e-05,1.1231651523379944,1.0135889193196261
9.0,3.6e-05,1.1084828708051924,1.0006005880379063
10.0,3.9999999999999996e-05,1.0836862756435965,1.0617423379529867
11.0,4.4e-05,1.089724658866964,1.0851231833879809
12.0,4.8e-05,1.1201048682137076,1.0384874881395925
13.0,5.2e-05,1.1283703437032147,1.0666283146208764
14.0,5.6e-05,1.1483161686763548,1.0404170273709432
15.0,5.9999999999999995e-05,1.1754688572567442,1.0272377785562874
16.0,6.4e-05,1.1697267080314133,1.0771591783005703
17.0,6.8e-05,1.1173440644587316,1.0999139403323235
18.0,7.2e-05,1.1074185553236444,1.1241567103406263
19.0,7.599999999999999e-05,1.090042028050759,1.0677340297068807
20.0,7.999999999999999e-05,1.0863463682657597,1.0939065188573351
21.0,8.4e-05,1.0837862467752828,1.1008107463297334
22.0,8.8e-05,1.0875134345045605,1.064670469602582
23.0,9.2e-05,1.046521854822198,1.0797847277580772
24.0,9.6e-05,1.0820253195050413,1.058899440582601
25.0,9.999999999999999e-05,1.1114864000782605,1.0981229082529962
26.0,0.000104,1.161104447384028,1.0990063837375748
27.0,0.000108,1.153429803687964,1.1232811833499095
28.0,0.000112,1.110874291241237,1.1325542987840715
29.0,0.000116,1.1083174309262267,1.1501518069649648
30.0,0.00011999999999999999,1.105635254442319,1.1428168898921685
31.0,0.000124,1.1375986480616371,1.133956413833478
32.0,0.000128,1.1315483168888316,1.1618423605493118
33.0,0.00013199999999999998,1.1456334629948242,1.196240960766624
34.0,0.000136,1.135720836494103,1.245142784646887
35.0,0.00014,1.1937927872711098,1.2502210262568683
36.0,0.000144,1.1951352986086854,1.2209873079283016
37.0,0.000148,1.1723507214673536,1.196460996841178
