Steps,Time (ns),RMSD_rec,RMSD_lig
0.0,0.0,0.7959458633641775,1.209613544373636
1.0,4e-06,0.7910639597199367,1.1760481445466442
2.0,8e-06,0.7658872067209361,1.1353799717074944
3.0,1.2e-05,0.7622771071719642,1.1422678314651806
4.0,1.6e-05,0.7473266950911541,1.1697751476260851
5.0,1.9999999999999998e-05,0.7492389661320478,1.1903629607832524
6.0,2.4e-05,0.7029985782311509,1.2389145551732936
7.0,2.8e-05,0.7236424786840561,1.2658238535969382
8.0,3.2e-05,0.7594850690579511,1.249748419875527
9.0,3.6e-05,0.7604231053617001,1.2604594841541297
10.0,3.9999999999999996e-05,0.7876841163052468,1.2383222224240733
11.0,4.4e-05,0.7793115438115374,1.2002929164917435
12.0,4.8e-05,0.7974448173136173,1.1952895716588487
13.0,5.2e-05,0.788788872983729,1.207023547244828
14.0,5.6e-05,0.7924838445249136,1.2513379349090692
15.0,5.9999999999999995e-05,0.7828491968554954,1.2368750771260828
16.0,6.4e-05,0.7842807555436776,1.2027195316176196
17.0,6.8e-05,0.7515956463337579,1.2664609069970802
18.0,7.2e-05,0.7541727669866122,1.2352716801935508
19.0,7.599999999999999e-05,0.7832799342648544,1.2765725431894137
20.0,7.999999999999999e-05,0.8041794555286329,1.2974622470574746
21.0,8.4e-05,0.8226446761675654,1.293742521958181
22.0,8.8e-05,0.8124483528165733,1.2927155660134657
23.0,9.2e-05,0.7855128533188465,1.2814273799021123
24.0,9.6e-05,0.7799618906991052,1.2741680557551405
25.0,9.999999999999999e-05,0.7810961206737775,1.2873412182273694
26.0,0.000104,0.7801645926855605,1.2838362877214697
27.0,0.000108,0.7826187140922045,1.297604270975893
28.0,0.000112,0.7977433607587786,1.282049168394074
29.0,0.000116,0.8003059371909903,1.29671455021685
30.0,0.00011999999999999999,0.8240206239682235,1.2874517597039117
31.0,0.000124,0.7927398464463654,1.2856769085856423
32.0,0.000128,0.7784096643788719,1.3009447065932755
33.0,0.00013199999999999998,0.7515810933978685,1.271893244115917
34.0,0.000136,0.7777307985011018,1.2338387931085972
35.0,0.00014,0.8130484617618858,1.2051530277952873
36.0,0.000144,0.844515487810267,1.2031614893218445
37.0,0.000148,0.8310815069383203,1.1826348480602171
38.0,0.00015199999999999998,0.78985535114661,1.1620969779578836
39.0,0.000156,0.7847399629420199,1.1453442958760782
40.0,0.00015999999999999999,0.81681307375143,1.142078051812414
41.0,0.000164,0.7890601928417545,1.1829367440318312
42.0,0.000168,0.8095150294389932,1.1806842013674608
43.0,0.00017199999999999998,0.8318795697008509,1.184076934487017
44.0,0.000176,0.8508176832606689,1.173084253119696
45.0,0.00017999999999999998,0.862504297252607,1.137854398998713
46.0,0.000184,0.9071019330106439,1.1624957295795086
47.0,0.000188,0.8856290376260463,1.224747203011037
48.0,0.000192,0.9118015260467818,1.2374276259166541
49.0,0.000196,0.9586504752402161,1.2116972930137118
50.0,0.00019999999999999998,0.8894403881462531,1.1978045433475735
51.0,0.000204,0.8583196044719876,1.182070254669866
52.0,0.000208,0.8897324162850206,1.2158626616779646
53.0,0.000212,0.873949322776152,1.14596078696913
54.0,0.000216,0.8625119747894392,1.1634079212295854
55.0,0.00021999999999999998,0.9004918240991949,1.1607808060307359
56.0,0.000224,0.9389716055597391,1.185183923887806
57.0,0.00022799999999999999,0.9350034663920558,1.1510765290065224
58.0,0.000232,0.9875262021673126,1.0965770903068706
59.0,0.000236,0.9995192608937941,1.1363522425408352
60.0,0.00023999999999999998,0.9618801082908008,1.1497999497636766
61.0,0.000244,0.9331360915762574,1.158403961175088
62.0,0.000248,0.907242051493462,1.1649750132319863
63.0,0.000252,0.8797949685193335,1.1590949083826902
64.0,0.000256,0.886666270349235,1.1788204146306114
65.0,0.00026,0.870293433076904,1.1782971092084873
66.0,0.00026399999999999997,0.8421577707972228,1.142790907014102
67.0,0.000268,0.8697812383423497,1.1284343976871014
68.0,0.000272,0.9208269494213362,1.0842269221436442
69.0,0.000276,0.9338654118034111,1.138317734684974
70.0,0.00028,0.8863552092472546,1.1647760868820203
71.0,0.00028399999999999996,0.890501864798011,1.1593841520413835
72.0,0.000288,0.8552334262073285,1.179220378142763
73.0,0.000292,0.8660950624097996,1.186199907700696
74.0,0.000296,0.8509657756431344,1.176344144942457
75.0,0.0003,0.8485816178358109,1.1640469017560777
76.0,0.00030399999999999996,0.8532575972490533,1.1324750388126537
77.0,0.000308,0.8740066090026628,1.1656375409689215
78.0,0.000312,0.8809374134378551,1.1856928482420017
79.0,0.000316,0.8642220451212319,1.1974949252248808
80.0,0.00031999999999999997,0.902611783588978,1.2273681131486167
81.0,0.00032399999999999996,0.8676356878009746,1.2608626425953209
82.0,0.000328,0.8572250639672787,1.3305358997696164
83.0,0.000332,0.8737022906692605,1.3126240809560223
84.0,0.000336,0.8646924604099454,1.2750377485733853
85.0,0.00033999999999999997,0.8566061823697597,1.2190540995493018
86.0,0.00034399999999999996,0.8409821967938363,1.2440411452193918
87.0,0.000348,0.8567227619993946,1.2212956687326273
88.0,0.000352,0.8290971135819352,1.2749151786096111
89.0,0.000356,0.8220463436711622,1.2913019446748533
90.0,0.00035999999999999997,0.8323972380264077,1.271630117198955
91.0,0.00036399999999999996,0.8662904914800423,1.2580061176076454
92.0,0.000368,0.8804732605644987,1.2559944289612788
93.0,0.000372,0.8901217544967948,1.2227338381255304
94.0,0.000376,0.9095909832322562,1.2233228854347908
95.0,0.00037999999999999997,0.869052951580997,1.1836707841807454
96.0,0.000384,0.9037494657219196,1.1868116300399014
97.0,0.000388,0.8850514242842118,1.159510116671341
98.0,0.000392,0.9081448802893504,1.159881784130993
99.0,0.000396,0.9013839259315716,1.1953603407358406
100.0,0.00039999999999999996,0.9296659691182161,1.1994295101421022
101.0,0.000404,0.9015003461820935,1.2002619363265017
102.0,0.000408,0.8714891705037492,1.2251180504659631
103.0,0.000412,0.8791548258813764,1.2474552134479326
104.0,0.000416,0.8515294478186795,1.247411576844424
105.0,0.00041999999999999996,0.8635455099598793,1.244425495457534
106.0,0.000424,0.8708498270850649,1.2441536379547256
107.0,0.000428,0.8765633504934953,1.2283941221299008
108.0,0.000432,0.9154354661111361,1.2354476181772815
109.0,0.00043599999999999997,0.9271013645073558,1.2003209965135555
110.0,0.00043999999999999996,0.914179002794788,1.1961794721357177
111.0,0.000444,0.9174524562131345,1.1951690728025264
112.0,0.000448,0.9272848627466285,1.2410571055989101
113.0,0.000452,0.8997691026569761,1.2273744524653873
114.0,0.00045599999999999997,0.8869419413748316,1.2234998927012877
115.0,0.00045999999999999996,0.8875723124435881,1.1976227912747415
116.0,0.000464,0.8983395627844738,1.237345300950758
117.0,0.000468,0.8935042381391217,1.2047337367450388
118.0,0.000472,0.8850740253169681,1.1647356404262184
119.0,0.00047599999999999997,0.8508511036457795,1.1768334259514626
120.0,0.00047999999999999996,0.846211871000258,1.140707018598836
121.0,0.000484,0.8128347774630968,1.1413891855494365
122.0,0.000488,0.8322989320615305,1.1339097629561108
123.0,0.0004919999999999999,0.8329341108509616,1.1444876721717692
124.0,0.000496,0.7990549938991558,1.165965749037385
125.0,0.0005,0.8302891571055908,1.1741115979905599
126.0,0.000504,0.8534368295157422,1.212610648781482
127.0,0.000508,0.8161948190980974,1.237405449469591
128.0,0.000512,0.8056675920306106,1.250701160827861
129.0,0.000516,0.8292698872435029,1.1852637283071008
130.0,0.00052,0.8172791715777149,1.1782677104675405
131.0,0.0005239999999999999,0.8372031981887298,1.1738812564382302
132.0,0.0005279999999999999,0.8473483521669498,1.1948654150524747
133.0,0.000532,0.8599268467966983,1.234268619028301
134.0,0.000536,0.8497985168225306,1.2271332234551935
135.0,0.00054,0.8176829605393063,1.1815587486906085
136.0,0.000544,0.8158370705147427,1.1761053673673796
137.0,0.000548,0.80620753980151,1.1359068856162644
138.0,0.000552,0.8612273520661022,1.1553935206789525
139.0,0.000556,0.8491723684433481,1.2020539759529296
140.0,0.00056,0.834416790276787,1.1681817087757134
141.0,0.0005639999999999999,0.8262929636044468,1.1994777272722719
142.0,0.0005679999999999999,0.8048638027651372,1.1918837557181836
143.0,0.000572,0.7955144552325494,1.1319267084693827
144.0,0.000576,0.8044728463362816,1.107934995765559
145.0,0.00058,0.819053138143542,1.1396964515327128
