Steps,Time (ns),RMSD_rec,RMSD_lig
0.0,0.0,0.9513564086065646,0.7994130544125438
1.0,4e-06,0.9565388991301627,0.7816662684805893
2.0,8e-06,0.9535615931759372,0.7554873543477301
3.0,1.2e-05,0.9216043961099842,0.7938708704738685
4.0,1.6e-05,0.8933874237034212,0.7917823213906785
5.0,1.9999999999999998e-05,0.8380560417150809,0.7964243000022654
6.0,2.4e-05,0.8324312600678107,0.7868419698619783
7.0,2.8e-05,0.86665727279157,0.7706671702975098
8.0,3.2e-05,0.8918440087669194,0.8006506072046664
9.0,3.6e-05,0.8587568625079155,0.7780549680697506
10.0,3.9999999999999996e-05,0.8410091125641774,0.7668580905668985
11.0,4.4e-05,0.8319103088033575,0.7546360281582762
12.0,4.8e-05,0.8057004154257413,0.7555951475341007
13.0,5.2e-05,0.8119796270980699,0.7577359518972182
14.0,5.6e-05,0.7944475561515602,0.7492081872539385
15.0,5.9999999999999995e-05,0.826370585034803,0.7780723270524339
16.0,6.4e-05,0.8087550217777228,0.7756273999349357
17.0,6.8e-05,0.7783891750748508,0.7813419430911127
18.0,7.2e-05,0.7744802736081797,0.7848564171861617
19.0,7.599999999999999e-05,0.741341936138654,0.7699043431589634
20.0,7.999999999999999e-05,0.7804404075138545,0.7685756431943409
21.0,8.4e-05,0.7993475679084672,0.7542398738652824
22.0,8.8e-05,0.7581313204366618,0.7720894473243688
23.0,9.2e-05,0.796001186077381,0.7567926386565937
24.0,9.6e-05,0.7760619461528316,0.735238946930943
25.0,9.999999999999999e-05,0.8150052754297787,0.773176978013686
26.0,0.000104,0.8290416866876584,0.7595378218127122
27.0,0.000108,0.7892544282730367,0.720612608518743
28.0,0.000112,0.8142174326248041,0.7520870463031032
29.0,0.000116,0.7919349904860193,0.7387964812555063
30.0,0.00011999999999999999,0.7874418638595124,0.7630963259967436
31.0,0.000124,0.7971637642071514,0.7177962081611416
32.0,0.000128,0.8211346616027781,0.7193546158308615
33.0,0.00013199999999999998,0.8261368537514562,0.7234163400142285
34.0,0.000136,0.8269819317513732,0.7013539325357208
35.0,0.00014,0.8610900047347585,0.7159638962521608
36.0,0.000144,0.8472896963699257,0.7258646351995659
37.0,0.000148,0.8647388134676964,0.7496844404192016
38.0,0.00015199999999999998,0.8530028965734592,0.7510995560870246
39.0,0.000156,0.8749015095209398,0.7606824383571313
40.0,0.00015999999999999999,0.8501856175073302,0.802913528541338
41.0,0.000164,0.8497766385088761,0.815463004433604
42.0,0.000168,0.8022114141244967,0.781994492174831
43.0,0.00017199999999999998,0.805563722297842,0.76699482427916
44.0,0.000176,0.8101608721153719,0.7684981070641619
45.0,0.00017999999999999998,0.8315689686633863,0.7476323988652361
46.0,0.000184,0.8063351695877402,0.7560726586029214
47.0,0.000188,0.8268604816201517,0.7802782086577453
48.0,0.000192,0.7822666473184146,0.7560791119946508
49.0,0.000196,0.7971371093235495,0.739408164474919
50.0,0.00019999999999999998,0.8091465568151457,0.7489299343642326
51.0,0.000204,0.8338403260253314,0.7272063955175677
52.0,0.000208,0.8271269759203591,0.7585461572191967
53.0,0.000212,0.821941404208668,0.7675274442470763
54.0,0.000216,0.7751667019166435,0.8119923994676046
55.0,0.00021999999999999998,0.7940010153245198,0.8956304191197871
56.0,0.000224,0.7959316583769072,0.8753510706931761
57.0,0.00022799999999999999,0.7630597660797807,0.8426753065340604
58.0,0.000232,0.7642675744009614,0.805527248295201
59.0,0.000236,0.7862807982497616,0.7891517460668923
60.0,0.00023999999999999998,0.8134704646165216,0.8145029686899392
61.0,0.000244,0.8122008556821837,0.7959597279338211
62.0,0.000248,0.8426925619564686,0.7780232657156485
63.0,0.000252,0.816361776813518,0.7871346466154834
64.0,0.000256,0.8363313744020369,0.7430326572133403
65.0,0.00026,0.7853368732621056,0.726809483621234
66.0,0.00026399999999999997,0.7844315395653887,0.7687635415077372
67.0,0.000268,0.8359856402396365,0.7664902029614962
68.0,0.000272,0.8281476773334475,0.7917522631988717
69.0,0.000276,0.7973112461596742,0.8038849524072468
70.0,0.00028,0.7747131139058249,0.8570000222995955
71.0,0.00028399999999999996,0.7769473405956893,0.8902707103013572
72.0,0.000288,0.7800591109654615,0.8552379670880979
73.0,0.000292,0.7837950244345055,0.8564252398469147
74.0,0.000296,0.7906990775791269,0.8059124867173867
75.0,0.0003,0.789947383753285,0.8124171661892475
76.0,0.00030399999999999996,0.7570283671133402,0.8408773924441229
77.0,0.000308,0.7302843771857415,0.7953888949349658
78.0,0.000312,0.7600333831431484,0.7881854840429667
79.0,0.000316,0.7468578231650544,0.8060366475187651
80.0,0.00031999999999999997,0.774442666569245,0.8209048789052225
81.0,0.00032399999999999996,0.7485757716674464,0.7843695809363302
82.0,0.000328,0.7498962993098133,0.7894800979277855
83.0,0.000332,0.7432706635355046,0.8428976325577007
84.0,0.000336,0.7410402727143579,0.83637053692425
85.0,0.00033999999999999997,0.7696025803253516,0.7685670985370374
86.0,0.00034399999999999996,0.7517718077598713,0.7573074476853198
87.0,0.000348,0.7214663854782838,0.7631980178865344
88.0,0.000352,0.7096337409888172,0.7995493247693318
89.0,0.000356,0.7240918756615243,0.8016961735172324
90.0,0.00035999999999999997,0.7340884399141411,0.8380841279248207
91.0,0.00036399999999999996,0.7120767563144088,0.7588380228574978
92.0,0.000368,0.6905917221102807,0.7781911813835835
93.0,0.000372,0.7053240331607458,0.7868106077428636
94.0,0.000376,0.7385590725930801,0.7782064713278598
95.0,0.00037999999999999997,0.766436304359152,0.7415908743958426
96.0,0.000384,0.7796180551644581,0.7141570959274877
97.0,0.000388,0.7579307913911268,0.7312052657696646
98.0,0.000392,0.7467326502990468,0.7217630314051059
99.0,0.000396,0.773683040668677,0.7452878030047992
100.0,0.00039999999999999996,0.797429253655632,0.7352114876945683
101.0,0.000404,0.7617945644833088,0.7052598676597437
102.0,0.000408,0.7473658808804633,0.6999777657183571
103.0,0.000412,0.7448770080813674,0.7260472280761422
104.0,0.000416,0.7959336066223119,0.7497685152112716
105.0,0.00041999999999999996,0.8086218962109566,0.7301923722541594
106.0,0.000424,0.782346054378682,0.7195542716247362
107.0,0.000428,0.7840976879516243,0.7231351572739303
108.0,0.000432,0.7928787364882618,0.7424596233048543
109.0,0.00043599999999999997,0.8193368783810839,0.7392298575165603
110.0,0.00043999999999999996,0.822386091253927,0.7583225352113708
111.0,0.000444,0.7829470488114605,0.8103633971394659
112.0,0.000448,0.7732320818857529,0.7824636973064429
113.0,0.000452,0.7835816757834317,0.7783740951239239
114.0,0.00045599999999999997,0.7604039517410646,0.7611491064025134
115.0,0.00045999999999999996,0.7398470402586942,0.741629690333852
116.0,0.000464,0.7521199826370604,0.7797828312550881
117.0,0.000468,0.7405695449503681,0.8055282435212887
118.0,0.000472,0.7485181542591663,0.7901452448064343
119.0,0.00047599999999999997,0.730768067927434,0.8106838411919501
120.0,0.00047999999999999996,0.7592041797751347,0.8461591799326822
121.0,0.000484,0.754083631962812,0.8458481250380879
122.0,0.000488,0.7750802670326878,0.8613015667361164
123.0,0.0004919999999999999,0.7592764490866388,0.8222908993635902
124.0,0.000496,0.7564506338672204,0.8255486832563309
125.0,0.0005,0.7510137894876061,0.829958429890358
126.0,0.000504,0.7357063436382418,0.8331120022190619
127.0,0.000508,0.7432287330316217,0.8518187487327684
128.0,0.000512,0.7132326747142886,0.8367550810343937
129.0,0.000516,0.7356159057211087,0.8545146543888388
130.0,0.00052,0.7116268418375817,0.8650383373813784
131.0,0.0005239999999999999,0.7405926411699547,0.8234789279380922
132.0,0.0005279999999999999,0.7754354188520998,0.8079144933666881
133.0,0.000532,0.7529120644319307,0.7823431948707638
134.0,0.000536,0.7170911268130614,0.769339017239081
135.0,0.00054,0.7257951302783671,0.7367961047444298
136.0,0.000544,0.7436624075808198,0.7398522646099459
137.0,0.000548,0.762501899406469,0.7376711755464043
138.0,0.000552,0.7409021512586107,0.7673981044113451
139.0,0.000556,0.7277883638719111,0.7687748917104892
140.0,0.00056,0.7456534418550887,0.8140841088303186
141.0,0.0005639999999999999,0.7328509594273056,0.8355169020677864
142.0,0.0005679999999999999,0.7234611387788106,0.7936769424987794
